step 0: train loss 10.9899, val loss 10.9894
iter 2530: loss 4.1002, time 155.75ms, mfu 107.89%
iter 2540: loss 4.2091, time 157.11ms, mfu 107.82%
iter 2550: loss 4.2244, time 156.02ms, mfu 107.82%
iter 2560: loss 4.2286, time 157.27ms, mfu 107.75%
iter 2570: loss 4.1201, time 156.44ms, mfu 107.73%
iter 2580: loss 4.4313, time 156.01ms, mfu 107.75%
iter 2590: loss 4.2854, time 157.22ms, mfu 107.68%
iter 2600: loss 4.1860, time 157.19ms, mfu 107.62%
iter 2610: loss 4.1561, time 155.65ms, mfu 107.67%
iter 2620: loss 4.3834, time 155.63ms, mfu 107.72%
iter 2630: loss 4.1491, time 155.93ms, mfu 107.74%
iter 2640: loss 4.1799, time 156.49ms, mfu 107.72%
iter 2650: loss 4.2525, time 156.31ms, mfu 107.72%
iter 2660: loss 4.1830, time 156.01ms, mfu 107.74%
iter 2670: loss 3.9724, time 156.20ms, mfu 107.74%
iter 2680: loss 3.9544, time 156.00ms, mfu 107.76%
iter 2690: loss 4.2359, time 155.87ms, mfu 107.78%
iter 2700: loss 4.3445, time 156.55ms, mfu 107.75%
iter 2710: loss 4.2207, time 156.24ms, mfu 107.75%
iter 2720: loss 3.9153, time 156.25ms, mfu 107.75%
iter 2730: loss 4.2569, time 156.76ms, mfu 107.71%
iter 2740: loss 4.0070, time 156.77ms, mfu 107.68%
iter 2750: loss 4.1696, time 156.06ms, mfu 107.70%
iter 2760: loss 4.1668, time 156.14ms, mfu 107.71%
iter 2770: loss 4.2951, time 156.02ms, mfu 107.72%
iter 2780: loss 4.2332, time 155.87ms, mfu 107.75%
iter 2790: loss 3.9711, time 155.73ms, mfu 107.78%
iter 2800: loss 4.1113, time 156.12ms, mfu 107.79%
iter 2810: loss 4.0462, time 155.98ms, mfu 107.80%
iter 2820: loss 4.1721, time 155.37ms, mfu 107.85%
iter 2830: loss 3.9250, time 155.83ms, mfu 107.87%
iter 2840: loss 4.0505, time 156.08ms, mfu 107.87%
iter 2850: loss 4.0985, time 155.98ms, mfu 107.87%
iter 2860: loss 4.2077, time 155.23ms, mfu 107.93%
iter 2870: loss 4.0699, time 156.12ms, mfu 107.92%
iter 2880: loss 3.9368, time 156.06ms, mfu 107.91%
iter 2890: loss 4.0057, time 155.21ms, mfu 107.97%
iter 2900: loss 3.8787, time 156.04ms, mfu 107.96%
iter 2910: loss 4.0844, time 156.12ms, mfu 107.94%
iter 2920: loss 4.0595, time 155.78ms, mfu 107.95%
iter 2930: loss 3.9737, time 155.44ms, mfu 107.99%
iter 2940: loss 3.9384, time 155.96ms, mfu 107.98%
iter 2950: loss 4.3016, time 155.22ms, mfu 108.03%
iter 2960: loss 3.9017, time 157.07ms, mfu 107.94%
iter 2970: loss 4.0347, time 157.32ms, mfu 107.85%
iter 2980: loss 3.9628, time 155.66ms, mfu 107.88%
iter 2990: loss 4.0457, time 155.80ms, mfu 107.89%
step 3000: train loss 3.9907, val loss 4.0594
saving checkpoint to out_openwebtext
iter 3000: loss 4.1228, time 5021.03ms, mfu 97.44%
iter 3010: loss 4.0395, time 155.94ms, mfu 98.49%
iter 3020: loss 4.0429, time 156.23ms, mfu 99.41%
iter 3030: loss 4.1362, time 155.49ms, mfu 100.30%
iter 3040: loss 3.9923, time 156.20ms, mfu 101.04%
iter 3050: loss 3.9842, time 155.66ms, mfu 101.75%
iter 3060: loss 3.7946, time 156.88ms, mfu 102.31%
iter 3070: loss 4.1149, time 156.25ms, mfu 102.85%
iter 3080: loss 3.9162, time 156.17ms, mfu 103.34%
iter 3090: loss 4.1042, time 156.26ms, mfu 103.78%
iter 3100: loss 4.1310, time 155.84ms, mfu 104.20%
iter 3110: loss 3.7282, time 155.62ms, mfu 104.60%
iter 3120: loss 3.9494, time 155.97ms, mfu 104.93%
iter 3130: loss 3.9153, time 155.38ms, mfu 105.27%
iter 3140: loss 4.0552, time 155.68ms, mfu 105.56%
iter 3150: loss 3.9217, time 156.11ms, mfu 105.78%
iter 3160: loss 3.7519, time 155.40ms, mfu 106.04%
iter 3170: loss 3.9686, time 155.57ms, mfu 106.25%
iter 3180: loss 3.9304, time 156.13ms, mfu 106.41%
iter 3190: loss 3.9804, time 155.88ms, mfu 106.57%
iter 3200: loss 3.9119, time 155.36ms, mfu 106.74%
iter 3210: loss 4.0837, time 156.34ms, mfu 106.84%
iter 3220: loss 3.9153, time 157.10ms, mfu 106.87%
iter 3230: loss 4.0485, time 155.53ms, mfu 107.00%
iter 3240: loss 3.8811, time 157.05ms, mfu 107.02%
iter 3250: loss 3.7978, time 156.15ms, mfu 107.10%
iter 3260: loss 4.2199, time 155.53ms, mfu 107.21%
iter 3270: loss 3.9663, time 156.47ms, mfu 107.25%
iter 3280: loss 3.8590, time 155.40ms, mfu 107.35%
iter 3290: loss 3.7566, time 155.79ms, mfu 107.42%
iter 3300: loss 3.8162, time 155.93ms, mfu 107.48%
iter 3310: loss 3.8446, time 155.94ms, mfu 107.52%
iter 3320: loss 3.9679, time 156.15ms, mfu 107.55%
iter 3330: loss 4.0183, time 155.87ms, mfu 107.59%
iter 3340: loss 3.8960, time 156.31ms, mfu 107.60%
iter 3350: loss 3.9587, time 156.16ms, mfu 107.62%
iter 3360: loss 3.9721, time 156.43ms, mfu 107.62%
iter 3370: loss 3.8796, time 155.90ms, mfu 107.65%
iter 3380: loss 3.8974, time 156.43ms, mfu 107.65%
iter 3390: loss 3.8364, time 155.80ms, mfu 107.69%
iter 3400: loss 4.1331, time 156.83ms, mfu 107.65%
iter 3410: loss 3.9753, time 156.29ms, mfu 107.66%
iter 3420: loss 3.7563, time 156.81ms, mfu 107.63%
iter 3430: loss 3.7180, time 155.63ms, mfu 107.68%
iter 3440: loss 3.8052, time 155.74ms, mfu 107.72%
iter 3450: loss 3.9796, time 155.56ms, mfu 107.77%
iter 3460: loss 3.6698, time 155.88ms, mfu 107.79%
iter 3470: loss 3.8568, time 156.47ms, mfu 107.77%
iter 3480: loss 4.0733, time 156.45ms, mfu 107.75%
iter 3490: loss 3.8608, time 156.64ms, mfu 107.72%
iter 3500: loss 3.8846, time 155.68ms, mfu 107.76%
iter 3510: loss 3.8196, time 156.62ms, mfu 107.73%
iter 3520: loss 3.9245, time 156.18ms, mfu 107.74%
iter 3530: loss 3.8150, time 155.63ms, mfu 107.78%
iter 3540: loss 3.7900, time 155.63ms, mfu 107.82%
iter 3550: loss 3.5943, time 155.94ms, mfu 107.83%
iter 3560: loss 3.8825, time 156.08ms, mfu 107.83%
iter 3570: loss 3.8641, time 155.68ms, mfu 107.86%
iter 3580: loss 3.9427, time 156.50ms, mfu 107.83%
iter 3590: loss 3.6669, time 156.67ms, mfu 107.79%
iter 3600: loss 3.8630, time 155.92ms, mfu 107.81%
iter 3610: loss 3.7907, time 156.17ms, mfu 107.80%
iter 3620: loss 3.7962, time 156.37ms, mfu 107.79%
iter 3630: loss 3.7834, time 156.17ms, mfu 107.79%
iter 3640: loss 3.9163, time 157.35ms, mfu 107.71%
iter 3650: loss 3.7503, time 156.45ms, mfu 107.69%
iter 3660: loss 3.8010, time 155.37ms, mfu 107.76%
iter 3670: loss 3.8944, time 156.09ms, mfu 107.77%
iter 3680: loss 3.9091, time 155.82ms, mfu 107.79%
iter 3690: loss 3.8014, time 156.47ms, mfu 107.77%
iter 3700: loss 3.8241, time 156.87ms, mfu 107.72%
iter 3710: loss 3.8227, time 155.72ms, mfu 107.76%
iter 3720: loss 3.7811, time 156.13ms, mfu 107.77%
iter 3730: loss 3.8960, time 155.81ms, mfu 107.79%
iter 3740: loss 3.6557, time 156.11ms, mfu 107.80%
iter 3750: loss 3.6087, time 155.34ms, mfu 107.85%
iter 3760: loss 3.5236, time 156.07ms, mfu 107.85%
iter 3770: loss 3.9680, time 156.57ms, mfu 107.82%
iter 3780: loss 3.8967, time 157.01ms, mfu 107.76%
iter 3790: loss 3.7925, time 156.15ms, mfu 107.76%
iter 3800: loss 3.8323, time 156.75ms, mfu 107.72%
iter 3810: loss 3.9135, time 155.60ms, mfu 107.77%
iter 3820: loss 3.8235, time 156.44ms, mfu 107.75%
iter 3830: loss 3.6095, time 157.07ms, mfu 107.69%
iter 3840: loss 3.8443, time 156.82ms, mfu 107.66%
iter 3850: loss 3.9317, time 155.80ms, mfu 107.70%
iter 3860: loss 3.7640, time 156.61ms, mfu 107.67%
iter 3870: loss 3.4711, time 155.78ms, mfu 107.71%
iter 3880: loss 3.7434, time 155.79ms, mfu 107.74%
iter 3890: loss 3.7825, time 156.40ms, mfu 107.73%
iter 3900: loss 3.6145, time 156.52ms, mfu 107.71%
iter 3910: loss 3.5011, time 156.12ms, mfu 107.72%
iter 3920: loss 3.7172, time 156.44ms, mfu 107.71%
iter 3930: loss 3.8596, time 155.68ms, mfu 107.75%
iter 3940: loss 3.7602, time 155.89ms, mfu 107.77%
iter 3950: loss 3.8323, time 156.21ms, mfu 107.77%
iter 3960: loss 3.8353, time 156.14ms, mfu 107.78%
iter 3970: loss 3.6534, time 155.44ms, mfu 107.83%
iter 3980: loss 3.8919, time 156.45ms, mfu 107.80%
iter 3990: loss 3.7539, time 157.10ms, mfu 107.74%
step 4000: train loss 3.7447, val loss 3.8030
saving checkpoint to out_openwebtext
iter 4000: loss 3.5897, time 5131.12ms, mfu 97.29%
iter 4010: loss 3.6228, time 155.29ms, mfu 98.40%
iter 4020: loss 3.7256, time 155.56ms, mfu 99.38%
iter 4030: loss 3.7726, time 155.44ms, mfu 100.27%
iter 4040: loss 3.7303, time 156.60ms, mfu 100.99%
iter 4050: loss 3.8044, time 155.94ms, mfu 101.69%
iter 4060: loss 3.9723, time 157.04ms, mfu 102.24%
iter 4070: loss 3.7145, time 155.85ms, mfu 102.81%
iter 4080: loss 3.7191, time 155.17ms, mfu 103.38%
iter 4090: loss 3.3311, time 155.83ms, mfu 103.84%
iter 4100: loss 3.7813, time 156.87ms, mfu 104.19%
iter 4110: loss 3.8164, time 156.22ms, mfu 104.55%
iter 4120: loss 3.7783, time 155.74ms, mfu 104.90%
iter 4130: loss 3.6937, time 155.97ms, mfu 105.20%
iter 4140: loss 3.6533, time 156.42ms, mfu 105.44%
iter 4150: loss 3.7703, time 155.83ms, mfu 105.70%
iter 4160: loss 3.6671, time 156.37ms, mfu 105.89%
iter 4170: loss 3.6503, time 155.77ms, mfu 106.11%
iter 4180: loss 3.3911, time 155.81ms, mfu 106.30%
iter 4190: loss 3.8105, time 155.78ms, mfu 106.48%
iter 4200: loss 3.6805, time 156.85ms, mfu 106.56%
iter 4210: loss 3.8289, time 155.46ms, mfu 106.73%
iter 4220: loss 3.6423, time 155.95ms, mfu 106.85%
iter 4230: loss 3.7190, time 156.46ms, mfu 106.93%
iter 4240: loss 3.6174, time 156.75ms, mfu 106.97%
iter 4250: loss 3.7591, time 156.06ms, mfu 107.06%
iter 4260: loss 3.6681, time 155.89ms, mfu 107.15%
iter 4270: loss 3.7951, time 155.93ms, mfu 107.23%
iter 4280: loss 3.7081, time 155.71ms, mfu 107.32%
iter 4290: loss 3.7398, time 156.68ms, mfu 107.33%
iter 4300: loss 3.8018, time 156.57ms, mfu 107.35%
iter 4310: loss 3.6420, time 155.58ms, mfu 107.43%
iter 4320: loss 3.8031, time 156.43ms, mfu 107.45%
iter 4330: loss 3.6462, time 155.68ms, mfu 107.52%
iter 4340: loss 3.7286, time 156.55ms, mfu 107.52%
iter 4350: loss 3.7524, time 156.30ms, mfu 107.53%
iter 4360: loss 3.8689, time 156.90ms, mfu 107.51%
iter 4370: loss 3.6810, time 155.66ms, mfu 107.57%
iter 4380: loss 3.7808, time 156.09ms, mfu 107.60%
iter 4390: loss 3.4246, time 155.92ms, mfu 107.63%
iter 4400: loss 3.6146, time 155.67ms, mfu 107.68%
iter 4410: loss 3.5688, time 155.46ms, mfu 107.74%
iter 4420: loss 3.8891, time 156.52ms, mfu 107.72%
iter 4430: loss 3.6579, time 155.34ms, mfu 107.79%
iter 4440: loss 3.6398, time 155.90ms, mfu 107.80%
iter 4450: loss 3.5731, time 156.42ms, mfu 107.79%
